RADIO LISTENING,A ASCULTA LA RADIO
ELECTRIC POWER GENERATION,GENERARE DE ENERGIE ELECTRICĂ
GENETICS,GENETICĂ
PLANT GENETICS,GENETICA PLANTELOR
HUMAN GENETICS,GENETICĂ UMANĂ
GENOCIDE,GENOCID
GERIATRICS,GERIATRIE
FOREST MANAGEMENT,GESTIONAREA PĂDURILOR
FINANCIAL MANAGEMENT,GESTIUNE FINANCIARĂ
GYNAECOLOGY,GINECOLOGIE
GLOBALIZATION,GLOBALIZARE
SINGLE OCCUPANCY HOUSEHOLDS,GOSPODĂRIE CU UN SINGUR LOCATAR
HOUSEHOLDS,GOSPODĂRII
FARMS,GOSPODĂRII AGRICOLE
GARDENING,GRĂDINĂRIT
GARDENS,GRĂDINI ȘI PARCURI
PRIVATE GARDENS,GRĂDINI PRIVATE
PUBLIC GARDENS,GRĂDINI PUBLICE
ZOOLOGICAL GARDENS,GRADINI ZOOLOGICE
PRE-PRIMARY SCHOOLS,GRĂDINIȚE
BORDERS (FRONTIERS),GRANIȚE (FRONTIERE)
GRANTS,GRANTURI
EDUCATIONAL GRANTS,GRANTURI EDUCAȚIONALE
RESEARCH GRANTS,GRANTURI PENTRU CERCETARE
NAUSEA,GREAȚĂ
WEIGHT (PHYSIOLOGY),GREUTATE (FIZIOLOGIE)
BIRTH WEIGHT,GREUTATE LA NAȘTERE
STRIKES,GREVE
INFLUENZA,GRIPĂ
REFUSE SITES,GROPI DE GUNOI
ABILITY GROUPING,GRUPARE DUPĂ COMPETENȚE
EDUCATIONAL GROUPING,GRUPARE EDUCAȚIONALĂ
BLOOD GROUPS,GRUPE DE SÂNGE
GROUPS,GRUPURI
DISCUSSION GROUPS,GRUPURI DE DISCUȚIE
PLAY GROUPS,GRUPURI DE JOACĂ
INTEREST GROUPS,GRUPURI DE PRESIUNE
AGE GROUPS,GRUPURI DE VÂRSTĂ
DISADVANTAGED GROUPS,GRUPURI DEZAVANTAJATE
ETHNIC GROUPS,GRUPURI ETNICE
LANGUAGE GROUPS,GRUPURI LINGVISTICE
MINORITY GROUPS,GRUPURI MINORITARE
PARAMILITARY GROUPS,GRUPURI PARAMILITARE
MOTHER AND TODDLER GROUPS,GRUPURI PENTRU MAME ȘI COPII SUGARI
RELIGIOUS GROUPS,GRUPURI RELIGIOASE
SUBCULTURAL GROUPS,GRUPURI SUBCULTURALE
WHITE COLLAR WORKERS,GULERE ALBE
REFUSE,GUNOI
GOVERNMENT,GUVERN
CENTRAL GOVERNMENT,GUVERN CENTRAL
DECENTRALIZED GOVERNMENT,GUVERN DESCENTRALIZAT
EUROPEAN GOVERNMENT,GUVERN EUROPEAN
WORLD GOVERNMENT,GUVERN MONDIAL
REGIONAL GOVERNMENT,GUVERNARE REGIONALĂ
STATE GOVERNORS,GUVERNATORI DE STAT
HABITATS,HABITATE
INTELLECTUAL IMPAIRMENT,HANDICAP INTELECTUAL
STALKING,HĂRȚUIRE
SEXUAL HARASSMENT,HĂRȚUIRE SEXUALĂ
HAEMOGLOBIN,HEMOGLOBINĂ
HEPATITIS,HEPATITĂ
HERNIAS,HERNII
HETEROSEXUALITY,HETEROSEXUALITATE
HYDROCEPHALUS,HIDROCEFALIE
HYDROELECTRIC POWER STATIONS,HIDROCENTRALE
HINDUISM,HINDUISM
HYPNOTHERAPY,HIPNOTERAPIE
ORDINATION,HIROTONIRE
ORDINATION OF WOMEN,HIROTONIREA FEMEILOR
HYSTERECTOMY,HISTERECTOMY
HOBBIES,HOBBY-URI
CHOLERA,HOLERĂ
HOMEOPATHY,HOMEOPATIE
HOMOSEXUALITY,HOMOSEXUALITATE
FEMALE HOMOSEXUALITY,HOMOSEXUALITATE FEMININĂ
MALE HOMOSEXUALITY,HOMOSEXUALITATE MASCULINĂ
JUDGMENTS (LEGAL),HOTĂRÂRI JUDECĂTOREȘTI (DREPT)
HOTELS,HOTELURI
BOTTLE-FEEDING,HRĂNIRE CU BIBERONUL
JAUNDICE,ICTER
IDEALISM,IDEALISM
PARTY IDENTIFICATION,IDENTIFICARE DE PARTID
COMMUNITY IDENTIFICATION,IDENTIFICAREA COMUNITĂȚII
IDENTITY,IDENTITATE
CULTURAL IDENTITY,IDENTITATE CULTURALĂ
NATIONAL IDENTITY,IDENTITATE NAȚIONALĂ
PERSONAL IDENTITY,IDENTITATE PERSONALĂ
SEXUAL IDENTITY,IDENTITATE SEXUALĂ
IDEOLOGIES,IDEOLOGII
RABBITS,IEPURI
HERBICIDES,IERBICIDE
PERSONAL HYGIENE,IGIENĂ PERSONALĂ
ELECTRIC LIGHTING,ILUMINARE ELECTRICĂ
STREET LIGHTING,ILUMINARE STRADALĂ
LIGHTING,ILUMINAT
IMAGE,IMAGINE
PUBLIC IMAGE,IMAGINE PUBLICĂ
AGEING,ÎMBĂTRÂNIRE
AGEING POPULATION,ÎMBĂTRÂNIREA POPULAȚIEI
LAND AMELIORATION,ÎMBUNĂTĂȚIREA SOLULUI
IMMIGRANTS,IMIGRANȚI
ILLEGAL IMMIGRANTS,IMIGRANȚI ILEGALI
IMMIGRATION,IMIGRARE
JOB SHARING,ÎMPĂRȚIREA SARCINILOR DE LUCRU
IMPERIALISM,IMPERIALISM
PARENT PARTICIPATION,IMPLICARE PARENTALĂ
INCOME TAX,IMPOZIT PE VENIT
LOCAL TAXATION,IMPOZITE LOCALE
CREDIT,ÎMPRUMUT BANCAR
LOANS,ÎMPRUMUTURI
STUDENT LOANS,ÎMPRUMUTURI PENTRU STUDENȚI
IMMUNIZATION,IMUNIZARE
HEIGHT (PHYSIOLOGY),ÎNĂLȚIME (FIZIOLOGIE)
ALCOHOL LAW VIOLATIONS,ÎNCĂLCAREA LEGII PRIVIND ALCOOLUL
TRESPASS,ÎNCĂLCAREA PROPRIETĂȚII
HUMAN RIGHTS VIOLATIONS,ÎNCÂLCĂRI ALE DREPTURILOR OMULUI
CENTRAL HEATING,ÎNCĂLZIRE CENTRALĂ
SOLID FUEL HEATING,ÎNCĂLZIRE CU CARBURANT SOLID
GAS-FIRED HEATING,ÎNCĂLZIRE CU GAZ
ELECTRIC HEATING,ÎNCĂLZIRE ELECTRICĂ
GLOBAL WARMING,ÎNCĂLZIRE GLOBALĂ
CARGO,ÎNCĂRCĂTURĂ
ARSON,INCENDIERE INTENȚIONATĂ
FIRE,INCENDII
TERMINATION OF SERVICE,ÎNCETAREA ACTIVITĂȚII
BUSINESS CLOSURES,ÎNCHIDEREA AFACERILOR
PRISONS,ÎNCHISORI
INCONTINENCE,INCONTINENȚĂ
FAECAL INCONTINENCE,INCONTINENȚĂ FECALĂ
URINARY INCONTINENCE,INCONTINENȚĂ URINARĂ
TRUST,ÎNCREDERE
INTERPERSONAL TRUST,ÎNCREDERE INTERPERSONALĂ
TRUST IN GOVERNMENT,ÎNCREDEREA ÎN GUVERN
DEFENDANTS,INCULPAȚI
PARENTAL ENCOURAGEMENT,ÎNCURAJARE PARENTALĂ
PRODUCER PRICE INDEX,INDEX AL PREȚURILOR DE PRODUCĂTOR
RETAIL PRICE INDEX,INDEX AL PREȚURILOR DE VÂNZARE LA BUCATĂ
TAX AND PRICE INDEX,INDEX AL TAXELOR ȘI IMPOZITELOR
PERFORMANCE INDICATORS,INDICATORI AI PERFORMANȚEI
ECONOMIC INDICATORS,INDICATORI ECONOMICI
POLITICAL INDICATORS,INDICATORI POLITICI
SOCIAL INDICATORS,INDICATORI SOCIALI
SOCIO-ECONOMIC INDICATORS,INDICATORI SOCIO-ECONOMICI
SOCIO-MEDICAL INDICES,INDICI SOCIO-MEDICALI
INDIVIDUALISM,INDIVIDUALISM
EDUCATIONAL GUIDANCE,ÎNDRUMARE EDUCAȚIONALĂ
INDUCED LABOUR (BIRTH),INDUCEREA NAȘTERII
FILM INDUSTRY,INDUSTRIA CINEMATOGRAFICĂ
COMMUNICATION INDUSTRY,INDUSTRIA COMUNICĂRII 
CONSTRUCTION INDUSTRY,INDUSTRIA CONSTRUCȚIILOR
POWER INDUSTRY,INDUSTRIA ENERGETICĂ
PETROLEUM INDUSTRY,INDUSTRIA PETROLIERĂ
SERVICE INDUSTRIES,INDUSTRIA SERVICIILOR
SEX INDUSTRY,INDUSTRIA SEXULUI
TELEVISION AND RADIO INDUSTRY,INDUSTRIA TELEVIZUALĂ ȘI DE RADIO
PUBLISHING INDUSTRY,"INDUSTRIA TIPOGRAFICĂ, PUBLICISTICĂ ȘI EDITORIALĂ"
TRANSPORT INDUSTRY,INDUSTRIA TRANSPORTURILOR
INDUSTRIALIZATION,INDUSTRIALIZARE
INDUSTRIES,INDUSTRII
EXTRACTIVE INDUSTRIES,INDUSTRII EXTRACTIVE
MANUFACTURING INDUSTRIES,INDUSTRII MANUFACTURIERE
SOCIAL INEQUALITY,INEGALITATE SOCIALĂ
COMPREHENSION,ÎNȚELEGERE
RESPIRATORY TRACT INFECTIONS,INFECȚII ALE APARATULUI RESPIRATOR
FOOD POISONING,INFECȚII ALIMENTARE
HIV INFECTIONS,INFECȚII CU VIRUSUL HIV
STATISTICAL INFERENCE,INFERENȚĂ STATISTICĂ
INFIDELITY,INFIDELITATE
BUSINESS FORMATION,ÎNFIINȚARE DE AFACERI
INFLATION,INFLAȚIE
FAMILY INFLUENCE,INFLUENȚĂ FAMILIALĂ
INTERPERSONAL INFLUENCE,INFLUENȚĂ INTERPERSONALĂ
POLITICAL INFLUENCE,INFLUENȚĂ POLITICĂ PUBLICĂ
SOCIAL INFLUENCE,INFLUENȚĂ SOCIALĂ
CONSUMER INFORMATION,INFORMAȚII PENTRU CONSUMATORI
OFFENCES,INFRACȚIUNI
DRINKING OFFENCES,INFRACȚIUNI ASOCIATE CONSUMULUI DE ALCOOL
DRUG OFFENCES,INFRACȚIUNI COMISE SUB INFLUENȚA DROGURILOR
PUBLIC ORDER OFFENCES,INFRACȚIUNI DE ORDINE PUBLICĂ
CRIMES AGAINST PERSONS,INFRACȚIUNI ÎMPOTRIVA PERSOANELOR
CRIMES AGAINST PROPERTY,INFRACȚIUNI ÎMPOTRIVA PROPRIETĂȚII
POLITICAL OFFENCES,INFRACȚIUNI POLITICE
TRAFFIC OFFENCES,INFRACȚIUNI RUTIERE
SEXUAL OFFENCES,INFRACȚIUNI SEXUALE
FACILITIES,INFRASTRUCTURĂ
LIBRARY FACILITIES,INFRASTRUCTURĂ PENTRU BIBLIOTECI
RESEARCH FACILITIES,INFRASTRUCTURĂ PENTRU CERCETARE
CYCLING FACILITIES,INFRASTRUCTURĂ PENTRU CICLIȘTI
LOCAL COMMUNITY FACILITIES,INFRASTRUCTURĂ PENTRU COMUNITĂȚI LOCALE
CULTURAL FACILITIES,INFRASTRUCTURĂ PENTRU CULTURĂ
HOUSING FACILITIES,INFRASTRUCTURĂ PENTRU LOCUIT
DISABLED FACILITIES,INFRASTRUCTURĂ PENTRU PERSOANE CU DIZABILITĂȚI
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE
HEALTH CARE FACILITIES,INFRASTRUCTURĂ PENTRU SERVICII DE SĂNĂTATE
TRANSPORT INFRASTRUCTURE,INFRASTRUCTURĂ PENTRU TRANSPORT
PEDESTRIAN FACILITIES,INFRASTRUCTURĂ PIETONALĂ
TOURIST FACILITIES,INFRASTRUCTURĂ TURISTICĂ
ENGINEERS,INGINERI
ENVIRONMENTAL ENGINEERING,INGINERIA MEDIULUI
GENETIC ENGINEERING,INGINERIE GENERICĂ
SANITARY ENGINEERING,INGINERIE SANITARĂ
TELEPHONE ENGINEERING,INGINERIE TELEFONICĂ
CARE,ÎNGRIJIRE
DENTAL CARE,ÎNGRIJIRE DENTARĂ
CARE IN THE COMMUNITY,ÎNGRIJIRE DIN PARTEA COMUNITĂȚII
FOSTER CARE,ÎNGRIJIRE ÎN CENTRE DE PLASAMENT
NURSING CARE,ÎNGRIJIRE OFERITĂ DE CĂTRE ASISTENTELE MEDICALE
CARE OF THE ELDERLY,ÎNGRIJIREA BĂTRÂNILOR
RESIDENTIAL CARE OF THE ELDERLY,ÎNGRIJIREA BĂTRÂNILOR ÎN CENTRE REZIDENȚIALE
CARE OF THE SICK,ÎNGRIJIREA BOLNAVILOR
RESIDENTIAL CARE OF THE SICK,ÎNGRIJIREA BOLNAVILOR ÎN CENTRE REZIDENȚIALE
CHILD CARE,ÎNGRIJIREA COPIILOR
RESIDENTIAL CARE,ÎNGRIJIREA LA DOMICILIU
RESIDENTIAL CHILD CARE,ÎNGRIJIREA LA DOMICILIU A COPIILOR
RESIDENTIAL CARE OF THE DISABLED,ÎNGRIJIREA LA DOMICILIU A PERSOANELOR CU DIZABILITĂȚI
CARE OF DEPENDANTS,ÎNGRIJIREA PERSOANELOR AFLATE ÎN ÎNTREȚINERE
CARE OF THE DISABLED,ÎNGRIJIREA PERSOANELOR CU DIZABILITĂȚI
SWIMMING,ÎNOT
AGRICULTURAL INNOVATIONS,INOVAȚII AGRICOLE
COMMERCIAL INNOVATION,INOVAȚII COMERCIALE
SCIENTIFIC INNOVATIONS,INOVAȚII ȘTIINȚIFICE
ENROLMENT,ÎNSCRIERE
INSECTS,INSECTE
ARTIFICIAL INSEMINATION,INSEMINARE ARTIFICIALĂ
INSOLVENCIES,INSOLVENȚE
WASHING FACILITIES,INSTALAȚII PENTRU APĂ CURENTĂ
COURTS,INSTANȚE JUDECĂTOREȘTI
CRIMINAL COURTS,INSTANȚE PENALE
SPECIAL COURTS AND TRIBUNALS,INSTANȚE SPECIALE DE JUDECATĂ
SUBORDINATE COURTS,INSTANȚE SUBORDONATE
INSTITUTIONS,INSTITUȚII
VOCATIONAL EDUCATION INSTITUTIONS,INSTITUȚII DE EDUCAȚIE VOCAȚIONALE
EDUCATIONAL INSTITUTIONS,INSTITUȚII DE ÎNVĂȚĂMÂNT
HIGHER EDUCATION INSTITUTIONS,INSTITUȚII DE ÎNVĂȚĂMÂNT SUPERIOR
FINANCIAL INSTITUTIONS,INSTITUȚII FINANCIARE
EDUCATIONAL SYSTEMS AND INSTITUTIONS,INSTITUȚII ȘI SISTEME EDUCAȚIONALE
ADULT EDUCATION INSTITUTIONS,INSTITUȚII PENTRU EDUCAREA ADULȚILOR
POLITICAL INSTITUTIONS,INSTITUȚII POLITICE
RELIGIOUS INSTITUTIONS,INSTITUȚII RELIGIOASE
ACADEMIC DEPARTMENTS,INSTITUTE DE CERCETARE ȘI FACULTĂȚI
TECHNOLOGICAL LITERACY,INSTRUCȚIE TEHNOLOGICĂ
SPORTS TRAINERS,INSTRUCTORI DE SPORT
TRAINING,INSTRUIRE
"AGRICULTURE, FORESTRY AND FISHERY EDUCATION","INSTRUIRE AGRICOLĂ, FORESTIERĂ ȘI PISCICOLĂ"
AUDIOVISUAL INSTRUCTION,INSTRUIRE AUDIOVIZUALĂ
HAIRDRESSING AND BEAUTY SERVICES EDUCATION,INSTRUIRE ÎN DOMENIUL COAFURII ȘI AL SERVICIILOR DE ÎNFRUMUSEȚARE
HOTEL AND CATERING SERVICES EDUCATION,INSTRUIRE ÎN DOMENIUL HOTELIER ȘI AL SERVICIILOR DE ALIMENTAȚIE PUBLICĂ
TRAVEL AND TOURISM EDUCATION,INSTRUIRE ÎN DOMENIUL TURISMULUI ȘI AL CĂLĂTORIILOR
NURSING EDUCATION,INSTRUIRE PENTRU ASISTENTE MEDICALE
RELIGIOUS INSTRUCTION,INSTRUIRE RELIGIOASĂ
LIBEL AND SLANDER,INSULTĂ ȘI CALOMNIE
MEETINGS,ÎNTÂLNIRI
APPOINTMENTS,ÎNTÂLNIRI PLANIFICATE
INTEGRATION,INTEGRARE
CULTURAL INTEGRATION,INTEGRARE CULTURALĂ
ECONOMIC INTEGRATION,INTEGRARE ECONOMICĂ
EDUCATIONAL INTEGRATION,INTEGRARE EDUCAȚIONALĂ
EUROPEAN INTEGRATION,INTEGRARE EUROPEANĂ
SOCIAL INTEGRATION,INTEGRARE SOCIALĂ
INTELLIGENCE,INTELIGENȚĂ
VOTING INTENTION,INTENȚIE DE VOT
CULTURAL INTERACTION,INTERACȚIUNE CULTURALĂ
SOCIAL INTERACTION,INTERACȚIUNE SOCIALĂ
INTERCEPTION OF COMMUNICATION,INTERCEPTAREA COMUNICAȚIILOR
INTEREST (COGNITIVE PROCESSES),INTERES (PROCES COGNITIV)
POLITICAL INTEREST,INTERES POLITIC
INTERNATIONALISM,INTERNAȚIONALISM
HOSPITAL ADMISSIONS,INTERNĂRI
INTERNET,INTERNET
INTERVIEWS (DATA COLLECTION),INTERVIURI (COLECTARE DE DATE)
FACE-TO-FACE INTERVIEWS,INTERVIURI FAȚĂ ÎN FAȚĂ
INTERVIEWING FOR JOB,INTERVIURI PENTRU ANGAJARE
CAPI,INTERVIURI PERSONALE ASISTATE DE CALCULATOR
TELEPHONE INTERVIEWS,INTERVIURI PRIN TELEFON
CATI,INTERVIURI TELEFONICE ASISTATE DE CALCULATOR
INTIMIDATION,INTIMIDARE
WITNESS INTIMIDATION,INTIMIDAREA MARTORILOR
MAINTENANCE,ÎNTREȚINERE
BUILDING MAINTENANCE,ÎNTREȚINEREA CLĂDIRILOR
ROAD MAINTENANCE,"ÎNTREȚINEREA DRUMURILOR, ȘOSELELOR ȘI CĂILOR DE ACCES"
ROAD VEHICLE MAINTENANCE,ÎNTREȚINEREA VEHICULELOR RUTIERE
AGRICULTURAL ENTERPRISES,ÎNTREPRINDERI AGRICOLE
INDUSTRIAL ENTERPRISES,ÎNTREPRINDERI INDUSTRIALE
PUBLIC ENTERPRISES,ÎNTREPRINDERI PUBLICE
FOREIGN ENTERPRISES,ÎNTREPRINDERI STRĂINE
DISCONNECTION OF SERVICES,ÎNTRERUPEREA SERVICIILOR
FLOODS,INUNDAȚII
TEACHING,ÎNVĂȚĂMÂNT
DISTANCE LEARNING,ÎNVĂȚĂMÂNT LA DISTANȚĂ
UPPER SECONDARY EDUCATION,ÎNVĂȚĂMÂNT LICEAL
PRE-PRIMARY EDUCATION,ÎNVĂȚĂMÂNT PREȘCOLAR
TERTIARY EDUCATION,ÎNVĂȚĂMÂNT UNIVERSITAR
TERTIARY EDUCATION (SECOND STAGE),"ÎNVĂȚĂMÂNT UNIVERSITAR (A DOUA ETAPĂ, STUDII DE MASTERAT ȘI DOCTORAT)"
TERTIARY EDUCATION (FIRST STAGE),"ÎNVĂȚĂMÂNT UNIVERSITAR (PRIMA ETAPĂ, STUDII DE LICENȚĂ)"
LEARNING,ÎNVĂȚARE
PRIMARY SCHOOL TEACHERS,ÎNVĂȚĂTORI
INVASION,INVAZIE
CRIMINAL INVESTIGATION,INVESTIGAȚIE CRIMINALĂ
PUBLIC ENQUIRIES,INVESTIGAȚII OFICIALE
INVESTMENT,INVESTIȚIE
FOREIGN INVESTMENT,INVESTIȚII STRĂINE
MORTGAGES,IPOTECI
ISLAM,ISLAMISM
ADMINISTRATIVE HISTORY,ISTORIA ADMINISTRAȚIEI
BRITISH HISTORY,ISTORIA MARII BRITANII
MEDICAL HISTORY,ISTORIC MEDICAL
HISTORY,ISTORIE
MARITAL HISTORY,ISTORIE CIVILĂ
CULTURAL HISTORY,ISTORIE CULTURALĂ
ECONOMIC HISTORY,ISTORIE ECONOMICĂ
EUROPEAN HISTORY,ISTORIE EUROPEANĂ
HISTORY AND ASSOCIATED STUDIES,ISTORIE ȘI STUDII CONEXE
LEGAL HISTORY,ISTORIE JURIDICĂ
LOCAL HISTORY,ISTORIE LOCALĂ
MEDIEVAL HISTORY,ISTORIE MEDIEVALĂ
MODERN HISTORY,ISTORIE MODERNĂ
NATURAL HISTORY,ISTORIE NATURALĂ
ORAL HISTORY,ISTORIE ORALĂ
POLITICAL HISTORY,ISTORIE POLITICĂ
SOCIAL HISTORY,ISTORIE SOCIALĂ
LIFE HISTORIES,ISTORII DE VIAȚĂ
HISTORIOGRAPHY,ISTORIOGRAFIE
LOVE,IUBIRE
JUDAISM,IUDAISM
ISOLATIONISM,IZOLAȚIONISM
SOCIAL ISOLATION,IZOLARE SOCIALĂ
THERMAL INSULATION,IZOLARE TERMICĂ
SOUND INSULATION,IZOLAREA FONICĂ
JARGON,JARGON
PLAY,JOC (JOACĂ)
RACKET GAMES,JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE
BALL GAMES,JOCURI CU MINGEA
GAMBLING,JOCURI DE NOROC ȘI PARIURI
INDOOR GAMES,JOCURI DE SOCIETATE
GAMING MACHINES,JOCURI MECANICE
OLYMPIC GAMES,JOCURILE OLIMPICE
JUDGES,JUDECĂTORI
JURIES,JURAȚI
DIARIES,JURNALE (PERSONALE)
JOURNALISM,JURNALISM
JOURNALISTS,JURNALIȘTI
JUSTICE,JUSTIȚIE
SOCIAL JUSTICE,JUSTIȚIE SOCIALĂ
FEET,LABELE PICIOARELOR
LABORATORIES,LABORATOARE
EDUCATIONAL LABORATORIES,LABORATOARE EDUCAȚIONALE
LOCKS,LACĂTE
LAKES,LACURI
LAGOONS,LAGUNE
LASERS,LASERE
LATERALITY,LATERALITATE
COMMUNITY LEADERS,LEADERI AI COMUNITĂȚII
LESSONS,LECȚII
DRIVING LESSONS,LECȚII DE CONDUCERE A AUTOVEHICULELOR
READING (ACTIVITY),LECTURĂ (ACTIVITATE)
CUSTOMARY LAW,LEGE CUTUMIARĂ
DIVORCE LAW,LEGEA DIVORȚULUI
PROPERTY LAW,LEGEA PROPRIETĂȚII
PERSONAL PROPERTY LAW,LEGEA PROPRIETĂȚII PRIVATE
LEGENDS,LEGENDE
REGULATIONS,LEGI
TRAFFIC REGULATIONS,LEGI RUTIERE
ENVIRONMENTAL LEGISLATION,LEGISLAȚIA MEDIULUI
LEGISLATION,LEGISLAȚIE
LEGISLATURE,LEGISLATURĂ
VEGETABLES,LEGUME
LENSES,LENTILE
CONTACT LENSES,LENTILE DE CONTACT
LETHARGY,LETARGIE
BRAIN DAMAGE,LEZIUNI ALE CREIERULUI
FREE WILL,LIBER ARBITRU
LIBERALISM,LIBERALISM
SELF-EMPLOYED,LIBERI PROFESIONIȘTI
FREEDOM OF RESIDENCE,LIBERTATE DE ȘEDERE
FREEDOM OF EXPRESSION,LIBERTATE DE EXPRESIE
FREEDOM OF SPEECH,LIBERTATE DE EXPRIMARE
FREEDOM OF MOVEMENT,LIBERTATE DE MIȘCARE
RELIGIOUS FREEDOM,LIBERTATE RELIGIOASĂ
FREEDOM OF THOUGHT,LIBERTATEA DE A GÂNDI LIBER
ACADEMIC FREEDOM,LIBERTATEA MEDIULUI ACADEMIC
FREEDOM OF THE PRESS,LIBERTATEA PRESEI
UPPER SECONDARY SCHOOLS,LICEE
SECONDARY SCHOOLS,LICEE ȘI COLEGII NAȚIONALE
LICENCES,LICENȚE
LIQUIDITY,LICHIDITATE
POLITICAL LEADERS,LIDERI POLITICI
RELIGIOUS LEADERS,LIDERI RELIGIOȘI
LANGUAGE OF INSTRUCTION,LIMBĂ DE PREDARE
MOTHER TONGUE,LIMBA MATERNĂ
LANGUAGE,LIMBAJ
COLLOQUIAL LANGUAGE,LIMBAJ COLOCVIAL
NON-VERBAL LANGUAGE,LIMBAJ NONVERBAL
OFFENSIVE LANGUAGE,LIMBAJ OFENSATOR
COMPUTER LANGUAGES,LIMBAJE DE PROGRAMARE
INTERNATIONAL LANGUAGES,LIMBI INTERNAȚIONALE
MINORITY LANGUAGES,LIMBI MINORITARE
NATIONAL LANGUAGES,LIMBI NAȚIONALE
OFFICIAL LANGUAGES,LIMBI OFICIALE
PREDOMINANT LANGUAGES,LIMBI PREDOMINANTE
LANGUAGES,LIMBI STRĂINE
SECOND LANGUAGES,LIMBI STRĂINE SECUNDARE
LANGUAGES USED AT HOME,LIMBI UTILIZATE ÎN FAMILIE
LANGUAGES USED AT WORK,LIMBI UTILIZATE LA LOCUL DE MUNCĂ
FIELD BOUNDARIES,LIMITE DE TEREN
SPEED LIMITS,LIMITE DE VITEZĂ
LINGUISTICS,LINGVISTICĂ
UNDERGROUND RAILWAYS,LINII DE METROU
TELEPHONE HELP LINES,LINII TELEFONICE DE ASISTENȚĂ
HOMELESSNESS,LIPSĂ DE ADĂPOST
FOOD SHORTAGES,LIPSĂ DE ALIMENTE
LABOUR SHORTAGES,LIPSA FORȚEI DE MUNCĂ
SHORTAGES,LIPSURI
LITERATURE,LITERATURĂ
WORKPLACE,LOC DE MUNCĂ
HOME-BASED WORK,LOC DE MUNCĂ LA DOMICILIU
PUBLIC HOUSES,LOCALURI PUBLICE
LOCOMOTION,LOCOMOȚIE
RENTED ACCOMMODATION,LOCUINȚĂ ÎNCHIRIATĂ
HOUSING FOR THE ELDERLY,LOCUINȚE PENTRU VÂRSTNICI
PRIVATE HOUSING,LOCUINȚE PRIVATE
SOCIAL HOUSING,LOCUINȚE SOCIALE
HOUSING,LOCUIRE
LOCUS OF CONTROL,LOCUL CONTROLULUI
PLACE OF RESIDENCE,LOCUL DE REȘEDINȚĂ
PLACE OF DEATH,LOCUL DECESULUI
PLACE OF BIRTH,LOCUL NAȘTERII
PLAYGROUNDS,LOCURI DE JOACĂ
JOB VACANCIES,LOCURI DE MUNCĂ VACANTE
SPEECH THERAPY,LOGOPEDIE
LOTTERIES,LOTERII
HOSTAGE TAKING,LUARE DE OSTATICI
TUTORIALS,"LUCRĂRI PRACTICE (DE SEMINAR, DE LABORATOR)"
OFFSHORE EMPLOYMENT,LUCRĂTORI ANGAJAȚI PE PLATFORME MARINE DE EXTRACȚIE
DOMESTIC WORKERS,LUCRĂTORI ÎN SERVICII DE MENAJ CASNIC
OUTWORKERS,LUCRĂTORI LA DOMICILIU (PE MATERIALELE FURNIZATE DE FIRMĂ)
SUNDAY WORKING,LUCRU DE DUMINICĂ
OUTWORK,LUCRU LA DOMICILIU CU MATERIALELE ANGAJATORULUI
SHOPS,MAGAZINE
GARDEN CENTRES,MAGAZINE CU ARTICOLE PENTRU GRĂDINĂ
RETAIL OUTLETS,MAGAZINE DE DESFACERE CU AMĂNUNTUL
MOBILE SHOPS,MAGAZINE DE TELEFONIE MOBILĂ
LARGE SHOPS,MAGAZINE MARI
SMALL SHOPS,MAGAZINE MICI
MAGIC,MAGIE
SLUMS,MAHALALE
CARS,MAȘINI
COMPANY CARS,MAȘINI DE SERVICIU
ELECTRIC CARS,MAȘINI ELECTRICE
NERVOUS SYSTEM MALFORMATIONS,MALFORMAȚII ALE SISTEMULUI NERVOS
MOTHERS,MAME
WORKING MOTHERS,MAME LUCRĂTOARE
UNMARRIED MOTHERS,MAME NECĂSĂTORITE
SURROGATE MOTHERS,MAME SUROGAT
BREAST SCREENING,MAMOGRAFIE
CHILD LABOUR,MÂNĂ DE LUCRU INFANTILĂ
MANAGEMENT,MANAGEMENT
TOP MANAGEMENT,MANAGEMENT SUPERIOR
BUSINESS MANAGEMENT,MANAGEMENTUL AFACERILOR
MANAGERS,MANAGERI
POLITICAL MANIFESTOS,MANIFESTE POLITICE
TEXTBOOKS,MANUALE
MANUAL WORKERS,MANUFACTURIERI
COMMODITIES,MĂRFURI
SEAS,MĂRI
SIZE,MĂRIME
CLASS SIZE,MĂRIMEA CLASEI
SCHOOL SIZE,MĂRIMEA ȘCOLII
FAMILY SIZE,MĂRIMEA FAMILIEI
NAVIES,MARINĂ MILITARĂ
SEAMEN,MARINARI
AGRICULTURAL MARKETING,MARKETING AGRICOL
WITNESSES,MARTORI
MARXISM,MARXISM
MASSAGE,MASAJ
DISTANCE MEASUREMENT,MĂSURAREA DISTANȚEI
WEIGHT MEASUREMENT,MĂSURAREA GREUTĂȚII
AREA MEASUREMENT,MĂSURAREA PERIMETRULUI
VOLUME MEASUREMENT,MĂSURAREA VOLUMULUI
DIMENSIONAL MEASUREMENTS,MĂSURĂRI ALE DIMENSIUNII
EDUCATIONAL MEASUREMENTS,MĂSURĂRI EDUCAȚIONALE
MEASUREMENTS,MĂSURĂTORI
