Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
QUALITY CONTROL,CONTROLUL CALITĂȚII,RT        ,PRODUCTION MANAGEMENT,ADMINISTRAREA PRODUCȚIEI
QUALITY CONTROL,CONTROLUL CALITĂȚII,RT        ,QUALITY,CALITATE
QUALITY CONTROL,CONTROLUL CALITĂȚII,RT        ,RELIABILITY,FIDELITATE (MĂSURARE)
QUALITY CONTROL,CONTROLUL CALITĂȚII,RT        ,STANDARDIZATION,STANDARDIZARE
QUALITY OF EDUCATION,CALITATEA EDUCAȚIEI,BT        ,QUALITY,CALITATE
QUALITY OF EDUCATION,CALITATEA EDUCAȚIEI,RT        ,EDUCATIONAL PLANNING,PLANIFICARE EDUCAȚIONALĂ
QUALITY OF LIFE,CALITATEA VIEȚII,BT        ,QUALITY,CALITATE
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,BASIC NEEDS,NEVOI PRIMARE
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,CULTURAL LIFE,VIAȚĂ CULTURALĂ
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,ENVIRONMENTAL QUALITY,CALITATEA MEDIULUI
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,EVERYDAY LIFE,VIAȚĂ COTIDIANĂ
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,LIVING CONDITIONS,CONDIȚII DE TRAI
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,SATISFACTION,SATISFACȚIE
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,SOCIAL ENVIRONMENT,MEDIU SOCIAL
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,SOCIAL LIFE,VIAȚĂ SOCIALĂ
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,STANDARD OF LIVING,NIVEL DE TRAI
QUALITY OF LIFE,CALITATEA VIEȚII,RT        ,WELL-BEING,RO_WELL-BEING
QUANTITY,CANTITATE,BT        ,MEASUREMENTS,MĂSURĂTORI
QUANTITY,CANTITATE,RT        ,SHORTAGES,LIPSURI
QUANTITY,CANTITATE,RT        ,SIZE,MĂRIME
RABBITS,IEPURI,BT        ,DOMESTIC ANIMALS,ANIMALE DOMESTICE
RACE RELATIONS,RELAȚII INTERRASIALE,BT        ,INTERGROUP RELATIONS,RELAȚII INTERGRUPALE
RACE RELATIONS,RELAȚII INTERRASIALE,NT        ,RACIAL CONFLICT,CONFLICT RASIAL
RACE RELATIONS,RELAȚII INTERRASIALE,NT        ,RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ
RACE RELATIONS,RELAȚII INTERRASIALE,NT        ,RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ
RACE RELATIONS,RELAȚII INTERRASIALE,NT        ,RACISM,RASISM
RACE RELATIONS,RELAȚII INTERRASIALE,RT        ,ETHNIC GROUPS,GRUPURI ETNICE
RACE RELATIONS,RELAȚII INTERRASIALE,RT        ,ETHNIC MINORITIES,MINORITĂȚI ETNICE
RACE RELATIONS,RELAȚII INTERRASIALE,RT        ,INTERETHNIC RELATIONS,RELAȚII INTERETNICE
RACE RELATIONS,RELAȚII INTERRASIALE,RT        ,RACIAL SEGREGATION,SEGREGARE RASIALĂ
RACE RIOTS,REVOLTĂ RASIALĂ,BT        ,RIOTS,REVOLTE DE STRADĂ
RACE RIOTS,REVOLTĂ RASIALĂ,RT        ,RACIAL CONFLICT,CONFLICT RASIAL
RACIAL CONFLICT,CONFLICT RASIAL,BT        ,RACE RELATIONS,RELAȚII INTERRASIALE
RACIAL CONFLICT,CONFLICT RASIAL,BT        ,SOCIAL CONFLICT,CONFLICT SOCIAL
RACIAL CONFLICT,CONFLICT RASIAL,RT        ,RACE RIOTS,REVOLTĂ RASIALĂ
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,BT        ,DISCRIMINATION,DISCRIMINARE
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,BT        ,RACE RELATIONS,RELAȚII INTERRASIALE
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,NT        ,ANTI-SEMITISM,ANTISEMITISM
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,NT        ,ETHNOCENTRISM,ETNOCENTRISM
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,NT        ,RACIAL SEGREGATION,SEGREGARE RASIALĂ
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ,RT        ,NATIONALITY DISCRIMINATION,DISCRIMINARE PE CRITERII DE NAȚIONALITATE
RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ,BT        ,PREJUDICE,PREJUDECATĂ
RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ,BT        ,RACE RELATIONS,RELAȚII INTERRASIALE
RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ,RT        ,RACISM,RASISM
RACIAL SEGREGATION,SEGREGARE RASIALĂ,BT        ,RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ
RACIAL SEGREGATION,SEGREGARE RASIALĂ,BT        ,SOCIAL INTEGRATION,INTEGRARE SOCIALĂ
RACIAL SEGREGATION,SEGREGARE RASIALĂ,RT        ,ANTI-SEMITISM,ANTISEMITISM
RACIAL SEGREGATION,SEGREGARE RASIALĂ,RT        ,EDUCATIONAL INTEGRATION,INTEGRARE EDUCAȚIONALĂ
RACIAL SEGREGATION,SEGREGARE RASIALĂ,RT        ,RACE RELATIONS,RELAȚII INTERRASIALE
RACIAL SEGREGATION,SEGREGARE RASIALĂ,RT        ,RELIGIOUS SEGREGATION,SEGREGARE RELIGIOASĂ
RACISM,RASISM,BT        ,RACE RELATIONS,RELAȚII INTERRASIALE
RACISM,RASISM,RT        ,ETHNOCENTRISM,ETNOCENTRISM
RACISM,RASISM,RT        ,FASCISM,FASCISM
RACISM,RASISM,RT        ,NATIONAL SOCIALISM,NAȚIONAL-SOCIALISM
RACISM,RASISM,RT        ,NEO-NAZISM,NEONAZISM
RACISM,RASISM,RT        ,RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ
RACKET GAMES,JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE,BT        ,SPORT,SPORT
RADIATION HAZARDS,RISC DE RADIAȚII,BT        ,HAZARDS,RISCURI
RADIATION HAZARDS,RISC DE RADIAȚII,NT        ,RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,ACCIDENTS,ACCIDENTE
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,AIR POLLUTION,POLUAREA AERULUI
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,NUCLEAR ACCIDENTS,ACCIDENTE NUCLEARE
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,NUCLEAR POWER STATIONS,CENTRALE NUCLEARE
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,NUCLEAR REACTOR SAFETY,SIGURANȚA REACTOARELOR NUCLEARE
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,NUCLEAR WARFARE,CONFLICT NUCLEAR
RADIATION HAZARDS,RISC DE RADIAȚII,RT        ,RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,BT        ,SAFETY AND SECURITY MEASURES,MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,NT        ,SUN PROTECTION,PROTECȚIE SOLARĂ
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,RT        ,PERSONAL PROTECTIVE GEAR,ECHIPAMENT PERSONAL DE PROTECȚIE
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,RT        ,RADIATION HAZARDS,RISC DE RADIAȚII
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,RT        ,SAFETY EQUIPMENT,ECHIPAMENT DE PROTECȚIE
RADICALISM,RADICALISM,BT        ,POLITICAL DOCTRINES,DOCTRINE POLITICE
RADIO,RADIO,BT        ,BROADCASTING,DIFUZARE TELEVIZATĂ ȘI RADIOFONICĂ
RADIO,RADIO,NT        ,EDUCATIONAL RADIO,RADIO EDUCAȚIONAL
RADIO,RADIO,NT        ,RADIO LISTENING,A ASCULTA LA RADIO
RADIO,RADIO,NT        ,RADIO PROGRAMMES,PROGRAME RADIO
RADIO,RADIO,NT        ,RADIO STATIONS,CANALE RADIO
RADIO,RADIO,RT        ,RADIO ADVERTISING,PUBLICITATE RADIO
RADIO ADVERTISING,PUBLICITATE RADIO,BT        ,ADVERTISING,PUBLICITATE
RADIO ADVERTISING,PUBLICITATE RADIO,RT        ,RADIO,RADIO
RADIO LISTENING,A ASCULTA LA RADIO,BT        ,LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
RADIO LISTENING,A ASCULTA LA RADIO,BT        ,LISTENING,ASCULTARE
RADIO LISTENING,A ASCULTA LA RADIO,BT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
RADIO LISTENING,A ASCULTA LA RADIO,BT        ,RADIO,RADIO
RADIO LISTENING,A ASCULTA LA RADIO,RT        ,AUDIENCES,PUBLICURI
RADIO LISTENING,A ASCULTA LA RADIO,RT        ,FREQUENCY,FRECVENȚĂ
RADIO LISTENING,A ASCULTA LA RADIO,RT        ,RADIO PROGRAMMES,PROGRAME RADIO
RADIO NEWS,ȘTIRI RADIO,BT        ,NEWS TRANSMISSION,TRANSMITEREA ȘTIRILOR
RADIO NEWS,ȘTIRI RADIO,BT        ,RADIO PROGRAMMES,PROGRAME RADIO
RADIO NEWS,ȘTIRI RADIO,RT        ,NEWS ITEMS,ELEMENTELE ȘTIRILOR
RADIO NEWS,ȘTIRI RADIO,RT        ,TELEVISION NEWS,ȘTIRI DE TELEVIZIUNE
RADIO PROGRAMMES,PROGRAME RADIO,BT        ,RADIO,RADIO
RADIO PROGRAMMES,PROGRAME RADIO,NT        ,RADIO NEWS,ȘTIRI RADIO
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,EDITING,EDITARE
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,ELECTION BROADCASTING,TRANSMISIUNI AUDIOVIZUALE ALE ALEGERILOR
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,ENTERTAINMENT,DIVERTISMENT
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,EXTERNAL BROADCASTING,DIFUZARE RADIO ?I TV EXTERNA
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,RADIO LISTENING,A ASCULTA LA RADIO
RADIO PROGRAMMES,PROGRAME RADIO,RT        ,TELEVISION PROGRAMMES,PROGRAME DE TELEVIZIUNE
RADIO STATIONS,CANALE RADIO,BT        ,RADIO,RADIO
RADIO STATIONS,CANALE RADIO,RT        ,BROADCASTING,DIFUZARE TELEVIZATĂ ȘI RADIOFONICĂ
RADIO STATIONS,CANALE RADIO,RT        ,BROADCASTING COMPANIES,COMPANII DE DIFUZARE TELEVIZATĂ SAU RADIOFONICĂ
RADIO STATIONS,CANALE RADIO,RT        ,LOCAL BROADCASTING,DIFUZARE LOCALĂ (RADIO ȘI TELEVIZIUNE)
RADIO STATIONS,CANALE RADIO,RT        ,NATIONAL BROADCASTING,DIFUZARE ȘI TRANSMISIE NAȚIONALĂ DE PROGRAME AUDIOVIZUALE
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,BT        ,DANGEROUS MATERIALS,MATERIALE PERICULOASE
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,BT        ,RADIATION HAZARDS,RISC DE RADIAȚII
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,BT        ,WASTES,DEȘEURI
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,RT        ,INDUSTRIAL POLLUTION,POLUARE INDUSTRIALĂ
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,RT        ,MARINE POLLUTION,POLUARE MARITIMĂ
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,RT        ,NUCLEAR FUELS,COMBUSTIBILI NUCLEARI
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,RT        ,NUCLEAR POWER STATIONS,CENTRALE NUCLEARE
RADIOACTIVE WASTES,DEȘEURI RADIOACTIVE,RT        ,WASTE DISPOSAL AND HANDLING,EVACUAREA ȘI TRATAREA DEȘEURILOR
RADIOTHERAPY,RADIOTERAPIE,BT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
RAIL ACCIDENTS,ACCIDENTE FEROVIARE,BT        ,TRANSPORT ACCIDENTS,ACCIDENTE LA TRANSPORT
RAIL ACCIDENTS,ACCIDENTE FEROVIARE,RT        ,RAIL SAFETY,SIGURANȚĂ FEROVIARĂ
RAIL ACCIDENTS,ACCIDENTE FEROVIARE,RT        ,RAIL TRAFFIC,TRAFIC FEROVIAR
RAIL ACCIDENTS,ACCIDENTE FEROVIARE,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RAIL ACCIDENTS,ACCIDENTE FEROVIARE,RT        ,RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL
RAIL SAFETY,SIGURANȚĂ FEROVIARĂ,BT        ,TRANSPORT SAFETY,SIGURANȚA TRANSPORTURILOR
RAIL SAFETY,SIGURANȚĂ FEROVIARĂ,RT        ,RAIL ACCIDENTS,ACCIDENTE FEROVIARE
RAIL SAFETY,SIGURANȚĂ FEROVIARĂ,RT        ,RAIL TRAFFIC,TRAFIC FEROVIAR
RAIL SAFETY,SIGURANȚĂ FEROVIARĂ,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RAIL TRAFFIC,TRAFIC FEROVIAR,BT        ,TRAFFIC,TRAFIC
RAIL TRAFFIC,TRAFIC FEROVIAR,RT        ,RAIL ACCIDENTS,ACCIDENTE FEROVIARE
RAIL TRAFFIC,TRAFIC FEROVIAR,RT        ,RAIL SAFETY,SIGURANȚĂ FEROVIARĂ
RAIL TRAFFIC,TRAFIC FEROVIAR,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR,BT        ,TRANSPORT INFRASTRUCTURE,INFRASTRUCTURĂ PENTRU TRANSPORT
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR,NT        ,RAILWAY STATIONS,GĂRI
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR,NT        ,RAILWAY TRACKS,CĂI FERATE
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR,RT        ,UNDERGROUND RAILWAYS,LINII DE METROU
RAILWAY STATIONS,GĂRI,BT        ,PUBLIC SERVICE BUILDINGS,CLĂDIRI PENTRU SERVICII PUBLICE
RAILWAY STATIONS,GĂRI,BT        ,RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR
RAILWAY STATIONS,GĂRI,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RAILWAY TRACKS,CĂI FERATE,BT        ,RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,BT        ,TRANSPORT,TRANSPORT
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,NT        ,UNDERGROUND RAILWAYS,LINII DE METROU
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,PUBLIC TRANSPORT,TRANSPORT PUBLIC
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAIL ACCIDENTS,ACCIDENTE FEROVIARE
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAIL SAFETY,SIGURANȚĂ FEROVIARĂ
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAIL TRAFFIC,TRAFIC FEROVIAR
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAILWAY STATIONS,GĂRI
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL
RAILWAY TRANSPORT,TRANSPORT FEROVIAR,RT        ,TRAINS,TRENURI
RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL,BT        ,TRAVEL,CĂLĂTORIE
RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL,RT        ,COMMUTING,NAVETĂ
RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL,RT        ,RAIL ACCIDENTS,ACCIDENTE FEROVIARE
RAILWAY TRAVEL,CĂLĂTORIE CU TRENUL,RT        ,RAILWAY TRANSPORT,TRANSPORT FEROVIAR
RATES OF PAY,PLATĂ PE UNITATEA DE TIMP,BT        ,WAGE DETERMINATION,STABILIREA SALARIILOR
RAW MATERIALS,MATERII PRIME,BT        ,FACTORS OF PRODUCTION,FACTORI DE PRODUCȚIE
RAW MATERIALS,MATERII PRIME,RT        ,COMMODITIES,MĂRFURI
RAW MATERIALS,MATERII PRIME,RT        ,NATURAL RESOURCES,RESURSE NATURALE
RAW MATERIALS,MATERII PRIME,RT        ,PRODUCTION,PRODUCȚIE
RAW MATERIALS,MATERII PRIME,RT        ,PRODUCTS,PRODUSE
READERSHIP,CITITORI,BT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
READERSHIP,CITITORI,NT        ,BOOK READERSHIP,CITITORI DE CĂRȚI
READERSHIP,CITITORI,NT        ,NEWSPAPER READERSHIP,CITITORII PRESEI SCRISE
READERSHIP,CITITORI,NT        ,PERIODICALS READERSHIP,CITITORI DE REVISTE
READERSHIP,CITITORI,RT        ,READING (ACTIVITY),LECTURĂ (ACTIVITATE)
READING (ACTIVITY),LECTURĂ (ACTIVITATE),BT        ,COMMUNICATION PROCESS,PROCES DE COMUNICARE
READING (ACTIVITY),LECTURĂ (ACTIVITATE),BT        ,CULTURAL ACTIVITIES,ACTIVITĂȚI CULTURALE
READING (ACTIVITY),LECTURĂ (ACTIVITATE),BT        ,LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,BOOK USE,UTILIZAREA CĂRȚILOR
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,LITERACY,ALFABETIZARE
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,READERSHIP,CITITORI
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,READING MATERIALS,MATERIALE DE CITIT
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,READING READINESS,CAPACITATEA DE A CITI
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,READING SKILLS,ABILITĂȚI DE CITIRE
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,READING TESTS,TESTE DE CITIRE
READING (ACTIVITY),LECTURĂ (ACTIVITATE),RT        ,WRITING SKILLS,ABILITĂȚI DE SCRIERE
READING MATERIALS,MATERIALE DE CITIT,BT        ,EDUCATIONAL PUBLICATIONS,PUBLICAȚII EDUCAȚIONALE
READING MATERIALS,MATERIALE DE CITIT,RT        ,READING (ACTIVITY),LECTURĂ (ACTIVITATE)
READING READINESS,CAPACITATEA DE A CITI,BT        ,READING SKILLS,ABILITĂȚI DE CITIRE
READING READINESS,CAPACITATEA DE A CITI,RT        ,LANGUAGE SKILLS,ABILITĂȚI LINGVISTICE
READING READINESS,CAPACITATEA DE A CITI,RT        ,LITERACY,ALFABETIZARE
READING READINESS,CAPACITATEA DE A CITI,RT        ,READING (ACTIVITY),LECTURĂ (ACTIVITATE)
READING SKILLS,ABILITĂȚI DE CITIRE,BT        ,COMMUNICATION SKILLS,ABILITĂȚI DE COMUNICARE
READING SKILLS,ABILITĂȚI DE CITIRE,NT        ,READING READINESS,CAPACITATEA DE A CITI
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,GRAMMAR SKILLS,COMPETEN?E GRAMATICALE
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,LANGUAGE SKILLS,ABILITĂȚI LINGVISTICE
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,LITERACY,ALFABETIZARE
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,LITERACY AND NUMERACY EDUCATION,ALFABETIZARE ȘI EDUCAȚIE ARITMETICĂ
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,READING (ACTIVITY),LECTURĂ (ACTIVITATE)
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,VOCABULARY SKILLS,CUNOȘTINȚE DE VOCABULAR
READING SKILLS,ABILITĂȚI DE CITIRE,RT        ,WRITING SKILLS,ABILITĂȚI DE SCRIERE
READING TESTS,TESTE DE CITIRE,BT        ,TESTS,TESTE
READING TESTS,TESTE DE CITIRE,RT        ,EDUCATIONAL TESTS,TESTE EDUCAȚIONALE
READING TESTS,TESTE DE CITIRE,RT        ,READING (ACTIVITY),LECTURĂ (ACTIVITATE)
REAL PROPERTY LAW,DREPT IMOBILIAR,BT        ,PROPERTY LAW,LEGEA PROPRIETĂȚII
REARMAMENT,REÎNARMARE,BT        ,ARMAMENT PROCESS,PROCES DE ÎNARMARE
REARMAMENT,REÎNARMARE,RT        ,ARMS RACE,CURSA ÎNARMĂRII
REARMAMENT,REÎNARMARE,RT        ,ARMS TRADE,COMERȚ CU ARMAMENT
REARMAMENT,REÎNARMARE,RT        ,DISARMAMENT,DEZARMARE
REASONING,GÂNDIRE RAȚIONALĂ,BT        ,COGNITIVE PROCESSES,PROCESE COGNITIVE
REASONING,GÂNDIRE RAȚIONALĂ,RT        ,DECISION MAKING,DECIZIE
REASONING,GÂNDIRE RAȚIONALĂ,RT        ,PROBLEM SOLVING,REZOLVAREA PROBLEMELOR
RECIDIVISM,RECIDIVISM,BT        ,CRIME,CRIMINALITATE
RECIDIVISM,RECIDIVISM,RT        ,CRIMINAL RECORD,DOSAR PENAL
RECIDIVISM,RECIDIVISM,RT        ,CRIMINALS,CRIMINALI
RECIDIVISM,RECIDIVISM,RT        ,DELINQUENCY,DELINCVENȚĂ
RECIDIVISM,RECIDIVISM,RT        ,PUNISHMENT,PEDEAPSĂ
RECIDIVISM,RECIDIVISM,RT        ,REHABILITATION (SOCIAL OFFENDERS),REABILITARE SOCIALĂ (DELINCVENȚI SOCIALI)
RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE,BT        ,DEVELOPING COUNTRIES,ȚĂRI ÎN CURS DE DEZVOLTARE
RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE,RT        ,AID,ASISTENȚĂ INTERNAȚIONALĂ
RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE,RT        ,DEVELOPMENT AID (INTERNATIONAL),AJUTOR PENTRU DEZVOLTARE (INTERNAȚIONAL)
RECIPIENT COUNTRIES,ȚĂRI BENEFICIARE,RT        ,DONOR COUNTRIES,ȚĂRI DONATOARE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,BT        ,RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,NT        ,COMMUNITY CENTRES,CENTRE COMUNITARE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,NT        ,HEALTH CLUBS,CENTRE DE SĂNĂTATE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,NT        ,SPORTS CENTRES,CENTRE SPORTIVE
RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER,RT        ,RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,BT        ,BUILDINGS,CLĂDIRI
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,BT        ,RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,NT        ,CINEMA BUILDINGS,CLĂDIRILE CINEMATOGRAFELOR
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,NT        ,THEATRE BUILDINGS,CLĂDIRILE TEATRELOR
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,RT        ,CULTURAL FACILITIES,INFRASTRUCTURĂ PENTRU CULTURĂ
RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE,RT        ,RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER
RECREATIONAL EDUCATION,EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE,BT        ,EDUCATIONAL SYSTEMS,SISTEME EDUCAȚIONALE
RECREATIONAL EDUCATION,EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE,BT        ,LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
RECREATIONAL EDUCATION,EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE,RT        ,CULTURAL TOURISM,TURISM CULTURAL
RECREATIONAL EDUCATION,EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE,RT        ,EDUCATIONAL COURSES,CURSURI EDUCAȚIONALE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,BT        ,FACILITIES,INFRASTRUCTURĂ
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,CANTEENS,CANTINE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,OPEN SPACES AND RECREATIONAL AREAS,ZONE DE RECREAȚIE ȘI SPAȚII DESCHISE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,PUBLIC HOUSES,LOCALURI PUBLICE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,RECREATION AND LEISURE CENTRES,CENTRE DE RECREERE ȘI PETRECERE A TIMPULUI LIBER
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,RECREATIONAL BUILDINGS,CLĂDIRI PENTRU RECREERE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,RESTAURANTS,RESTAURANTE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,SPORTS FACILITIES,FACILITĂȚI SPORTIVE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,NT        ,WATER RECREATIONAL AREAS,ZONE ACVATICE DE RECREERE
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,RT        ,EDUCATIONAL FACILITIES,CONSTRUC?II
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,RT        ,LEISURE TIME ACTIVITIES,ACTIVITĂȚI DE TIMP LIBER
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,RT        ,SOCIAL ACTIVITIES (LEISURE),ACTIVITĂȚI SOCIALE (TIMP LIBER)
RECREATIONAL FACILITIES,INFRASTRUCTURĂ PENTRU RECREERE,RT        ,TOURIST FACILITIES,INFRASTRUCTURĂ TURISTICĂ
