RO Preferred Term ,English PT
GRUPURI DE JOACĂ,PLAY GROUPS
GRUPURI DE PRESIUNE,INTEREST GROUPS
GRUPURI DE VÂRSTĂ,AGE GROUPS
GRUPURI DEZAVANTAJATE,DISADVANTAGED GROUPS
GRUPURI ETNICE,ETHNIC GROUPS
GRUPURI LINGVISTICE,LANGUAGE GROUPS
GRUPURI MINORITARE,MINORITY GROUPS
GRUPURI PARAMILITARE,PARAMILITARY GROUPS
GRUPURI PENTRU MAME ȘI COPII SUGARI,MOTHER AND TODDLER GROUPS
GRUPURI RELIGIOASE,RELIGIOUS GROUPS
GRUPURI SUBCULTURALE,SUBCULTURAL GROUPS
GULERE ALBE,WHITE COLLAR WORKERS
GUNOI,REFUSE
GUVERN,GOVERNMENT
GUVERN CENTRAL,CENTRAL GOVERNMENT
GUVERN DESCENTRALIZAT,DECENTRALIZED GOVERNMENT
GUVERN EUROPEAN,EUROPEAN GOVERNMENT
GUVERN MONDIAL,WORLD GOVERNMENT
GUVERNARE REGIONALĂ,REGIONAL GOVERNMENT
GUVERNATORI DE STAT,STATE GOVERNORS
HABITATE,HABITATS
HANDICAP INTELECTUAL,INTELLECTUAL IMPAIRMENT
HĂRȚUIRE,STALKING
HĂRȚUIRE SEXUALĂ,SEXUAL HARASSMENT
HEMOGLOBINĂ,HAEMOGLOBIN
HEPATITĂ,HEPATITIS
HERNII,HERNIAS
HETEROSEXUALITATE,HETEROSEXUALITY
HIDROCEFALIE,HYDROCEPHALUS
HIDROCENTRALE,HYDROELECTRIC POWER STATIONS
HINDUISM,HINDUISM
HIPNOTERAPIE,HYPNOTHERAPY
HIROTONIRE,ORDINATION
HIROTONIREA FEMEILOR,ORDINATION OF WOMEN
HISTERECTOMY,HYSTERECTOMY
HOBBY-URI,HOBBIES
HOLERĂ,CHOLERA
HOMEOPATIE,HOMEOPATHY
HOMOSEXUALITATE,HOMOSEXUALITY
HOMOSEXUALITATE FEMININĂ,FEMALE HOMOSEXUALITY
HOMOSEXUALITATE MASCULINĂ,MALE HOMOSEXUALITY
HOTĂRÂRI JUDECĂTOREȘTI (DREPT),JUDGMENTS (LEGAL)
HOTELURI,HOTELS
HRĂNIRE CU BIBERONUL,BOTTLE-FEEDING
ICTER,JAUNDICE
IDEALISM,IDEALISM
IDENTIFICARE DE PARTID,PARTY IDENTIFICATION
IDENTIFICAREA COMUNITĂȚII,COMMUNITY IDENTIFICATION
IDENTITATE,IDENTITY
IDENTITATE CULTURALĂ,CULTURAL IDENTITY
IDENTITATE NAȚIONALĂ,NATIONAL IDENTITY
IDENTITATE PERSONALĂ,PERSONAL IDENTITY
IDENTITATE SEXUALĂ,SEXUAL IDENTITY
IDEOLOGII,IDEOLOGIES
IEPURI,RABBITS
IERBICIDE,HERBICIDES
IGIENĂ PERSONALĂ,PERSONAL HYGIENE
ILUMINARE ELECTRICĂ,ELECTRIC LIGHTING
ILUMINARE STRADALĂ,STREET LIGHTING
ILUMINAT,LIGHTING
IMAGINE,IMAGE
IMAGINE PUBLICĂ,PUBLIC IMAGE
ÎMBĂTRÂNIRE,AGEING
ÎMBĂTRÂNIREA POPULAȚIEI,AGEING POPULATION
ÎMBUNĂTĂȚIREA SOLULUI,LAND AMELIORATION
IMIGRANȚI,IMMIGRANTS
IMIGRANȚI ILEGALI,ILLEGAL IMMIGRANTS
IMIGRARE,IMMIGRATION
ÎMPĂRȚIREA SARCINILOR DE LUCRU,JOB SHARING
IMPERIALISM,IMPERIALISM
IMPLICARE PARENTALĂ,PARENT PARTICIPATION
IMPOZIT PE VENIT,INCOME TAX
IMPOZITE LOCALE,LOCAL TAXATION
ÎMPRUMUT BANCAR,CREDIT
ÎMPRUMUTURI,LOANS
ÎMPRUMUTURI PENTRU STUDENȚI,STUDENT LOANS
IMUNIZARE,IMMUNIZATION
ÎNĂLȚIME (FIZIOLOGIE),HEIGHT (PHYSIOLOGY)
ÎNCĂLCAREA LEGII PRIVIND ALCOOLUL,ALCOHOL LAW VIOLATIONS
ÎNCĂLCAREA PROPRIETĂȚII,TRESPASS
ÎNCÂLCĂRI ALE DREPTURILOR OMULUI,HUMAN RIGHTS VIOLATIONS
ÎNCĂLZIRE CENTRALĂ,CENTRAL HEATING
ÎNCĂLZIRE CU CARBURANT SOLID,SOLID FUEL HEATING
ÎNCĂLZIRE CU GAZ,GAS-FIRED HEATING
ÎNCĂLZIRE ELECTRICĂ,ELECTRIC HEATING
ÎNCĂLZIRE GLOBALĂ,GLOBAL WARMING
ÎNCĂRCĂTURĂ,CARGO
INCENDIERE INTENȚIONATĂ,ARSON
INCENDII,FIRE
ÎNCETAREA ACTIVITĂȚII,TERMINATION OF SERVICE
ÎNCHIDEREA AFACERILOR,BUSINESS CLOSURES
ÎNCHISORI,PRISONS
INCONTINENȚĂ,INCONTINENCE
INCONTINENȚĂ FECALĂ,FAECAL INCONTINENCE
INCONTINENȚĂ URINARĂ,URINARY INCONTINENCE
ÎNCREDERE,TRUST
ÎNCREDERE INTERPERSONALĂ,INTERPERSONAL TRUST
ÎNCREDEREA ÎN GUVERN,TRUST IN GOVERNMENT
INCULPAȚI,DEFENDANTS
ÎNCURAJARE PARENTALĂ,PARENTAL ENCOURAGEMENT
INDEX AL PRE?URILOR DE VÂNZARE LA BUCATA,RETAIL PRICE INDEX
INDEX AL PREȚURILOR DE PRODUCĂTOR,PRODUCER PRICE INDEX
INDEX AL TAXELOR ȘI IMPOZITELOR,TAX AND PRICE INDEX
INDICATORI AI PERFORMANȚEI,PERFORMANCE INDICATORS
INDICATORI ECONOMICI,ECONOMIC INDICATORS
INDICATORI POLITICI,POLITICAL INDICATORS
INDICATORI SOCIALI,SOCIAL INDICATORS
INDICATORI SOCIO-ECONOMICI,SOCIO-ECONOMIC INDICATORS
INDICI SOCIO-MEDICALI,SOCIO-MEDICAL INDICES
INDIVIDUALISM,INDIVIDUALISM
ÎNDRUMARE EDUCAȚIONALĂ,EDUCATIONAL GUIDANCE
INDUCEREA NAȘTERII,INDUCED LABOUR (BIRTH)
INDUSTRIA CINEMATOGRAFICĂ,FILM INDUSTRY
INDUSTRIA COMUNICĂRII ,COMMUNICATION INDUSTRY
INDUSTRIA CONSTRUCȚIILOR,CONSTRUCTION INDUSTRY
INDUSTRIA ENERGETICĂ,POWER INDUSTRY
INDUSTRIA PETROLIERĂ,PETROLEUM INDUSTRY
INDUSTRIA SERVICIILOR,SERVICE INDUSTRIES
INDUSTRIA SEXULUI,SEX INDUSTRY
INDUSTRIA TELEVIZUALĂ ȘI DE RADIO,TELEVISION AND RADIO INDUSTRY
INDUSTRIA TIPOGRAFICĂ, PUBLICISTICĂ ȘI EDITORIALĂ
INDUSTRIA TRANSPORTURILOR,TRANSPORT INDUSTRY
INDUSTRIALIZARE,INDUSTRIALIZATION
INDUSTRII,INDUSTRIES
INDUSTRII EXTRACTIVE,EXTRACTIVE INDUSTRIES
INDUSTRII MANUFACTURIERE,MANUFACTURING INDUSTRIES
INEGALITATE SOCIALĂ,SOCIAL INEQUALITY
ÎNȚELEGERE,COMPREHENSION
INFECȚII ALE APARATULUI RESPIRATOR,RESPIRATORY TRACT INFECTIONS
INFECȚII ALIMENTARE,FOOD POISONING
INFECȚII CU VIRUSUL HIV,HIV INFECTIONS
INFERENȚĂ STATISTICĂ,STATISTICAL INFERENCE
INFIDELITATE,INFIDELITY
ÎNFIINȚARE DE AFACERI,BUSINESS FORMATION
INFLAȚIE,INFLATION
INFLUENȚĂ FAMILIALĂ,FAMILY INFLUENCE
INFLUENȚĂ INTERPERSONALĂ,INTERPERSONAL INFLUENCE
INFLUENȚĂ POLITICĂ PUBLICĂ,POLITICAL INFLUENCE
INFLUENȚĂ SOCIALĂ,SOCIAL INFLUENCE
INFORMAȚII PENTRU CONSUMATORI,CONSUMER INFORMATION
INFRACȚIUNI,OFFENCES
INFRACȚIUNI ASOCIATE CONSUMULUI DE ALCOOL,DRINKING OFFENCES
INFRACȚIUNI COMISE SUB INFLUENȚA DROGURILOR,DRUG OFFENCES
INFRACȚIUNI DE ORDINE PUBLICĂ,PUBLIC ORDER OFFENCES
INFRACȚIUNI ÎMPOTRIVA PERSOANELOR,CRIMES AGAINST PERSONS
INFRACȚIUNI ÎMPOTRIVA PROPRIETĂȚII,CRIMES AGAINST PROPERTY
INFRACȚIUNI POLITICE,POLITICAL OFFENCES
INFRACȚIUNI RUTIERE,TRAFFIC OFFENCES
INFRACȚIUNI SEXUALE,SEXUAL OFFENCES
INFRASTRUCTURĂ,FACILITIES
INFRASTRUCTURĂ PENTRU BIBLIOTECI,LIBRARY FACILITIES
INFRASTRUCTURĂ PENTRU CERCETARE,RESEARCH FACILITIES
INFRASTRUCTURĂ PENTRU CICLIȘTI,CYCLING FACILITIES
INFRASTRUCTURĂ PENTRU COMUNITĂȚI LOCALE,LOCAL COMMUNITY FACILITIES
INFRASTRUCTURĂ PENTRU CULTURĂ,CULTURAL FACILITIES
INFRASTRUCTURĂ PENTRU LOCUIT,HOUSING FACILITIES
INFRASTRUCTURĂ PENTRU PERSOANE CU DIZABILITĂȚI,DISABLED FACILITIES
INFRASTRUCTURĂ PENTRU RECREERE,RECREATIONAL FACILITIES
INFRASTRUCTURĂ PENTRU SERVICII DE SĂNĂTATE,HEALTH CARE FACILITIES
INFRASTRUCTURĂ PENTRU TRANSPORT,TRANSPORT INFRASTRUCTURE
INFRASTRUCTURĂ PIETONALĂ,PEDESTRIAN FACILITIES
INFRASTRUCTURĂ TURISTICĂ,TOURIST FACILITIES
INGINERI,ENGINEERS
INGINERIA MEDIULUI,ENVIRONMENTAL ENGINEERING
INGINERIE GENERICĂ,GENETIC ENGINEERING
INGINERIE SANITARĂ,SANITATION
INGINERIE TELEFONICĂ,TELEPHONE ENGINEERING
ÎNGRIJIRE,CARE
ÎNGRIJIRE DENTARĂ,DENTAL CARE
ÎNGRIJIRE DIN PARTEA COMUNITĂȚII,CARE IN THE COMMUNITY
ÎNGRIJIRE ÎN CENTRE DE PLASAMENT,FOSTER CARE
ÎNGRIJIRE OFERITĂ DE CĂTRE ASISTENTELE MEDICALE,NURSING CARE
ÎNGRIJIREA BĂTRÂNILOR,CARE OF THE ELDERLY
ÎNGRIJIREA BĂTRÂNILOR ÎN CENTRE REZIDENȚIALE,RESIDENTIAL CARE OF THE ELDERLY
ÎNGRIJIREA BOLNAVILOR,CARE OF THE SICK
ÎNGRIJIREA BOLNAVILOR ÎN CENTRE REZIDENȚIALE,RESIDENTIAL CARE OF THE SICK
ÎNGRIJIREA COPIILOR,CHILD CARE
ÎNGRIJIREA LA DOMICILIU,RESIDENTIAL CARE
ÎNGRIJIREA LA DOMICILIU A COPIILOR,RESIDENTIAL CHILD CARE
ÎNGRIJIREA LA DOMICILIU A PERSOANELOR CU DIZABILITĂȚI,RESIDENTIAL CARE OF THE DISABLED
ÎNGRIJIREA PERSOANELOR AFLATE ÎN ÎNTREȚINERE,CARE OF DEPENDANTS
ÎNGRIJIREA PERSOANELOR CU DIZABILITĂȚI,CARE OF THE DISABLED
ÎNOT,SWIMMING
INOVAȚII AGRICOLE,AGRICULTURAL INNOVATION
INOVAȚII COMERCIALE,COMMERCIAL INNOVATION
INOVAȚII ȘTIINȚIFICE,SCIENTIFIC INNOVATION
ÎNSCRIERE,ENROLMENT
INSECTE,INSECTS
INSEMINARE ARTIFICIALĂ,ARTIFICIAL INSEMINATION
INSOLVENȚE,INSOLVENCIES
INSTALAȚII PENTRU APĂ CURENTĂ,WASHING FACILITIES
INSTANȚE JUDECĂTOREȘTI,COURTS
INSTANȚE PENALE,CRIMINAL COURTS
INSTANȚE SPECIALE DE JUDECATĂ,SPECIAL COURTS AND TRIBUNALS
INSTANȚE SUBORDONATE,SUBORDINATE COURTS
INSTITUȚII,INSTITUTIONS
INSTITUȚII DE EDUCAȚIE VOCAȚIONALE,VOCATIONAL EDUCATION INSTITUTIONS
INSTITUȚII DE ÎNVĂȚĂMÂNT,EDUCATIONAL INSTITUTIONS
INSTITUȚII DE ÎNVĂȚĂMÂNT SUPERIOR,HIGHER EDUCATION INSTITUTIONS
INSTITUȚII FINANCIARE,FINANCIAL INSTITUTIONS
INSTITUȚII ȘI SISTEME EDUCAȚIONALE,EDUCATIONAL SYSTEMS AND INSTITUTIONS
INSTITUȚII PENTRU EDUCAREA ADULȚILOR,ADULT EDUCATION INSTITUTIONS
INSTITUȚII POLITICE,POLITICAL INSTITUTIONS
INSTITUȚII RELIGIOASE,RELIGIOUS INSTITUTIONS
INSTITUTE DE CERCETARE ȘI FACULTĂȚI,ACADEMIC DEPARTMENTS
INSTRUCȚIE TEHNOLOGICĂ,TECHNOLOGICAL LITERACY
INSTRUCTORI DE SPORT,SPORTS TRAINERS
INSTRUIRE,TRAINING
INSTRUIRE AGRICOLĂ, FORESTIERĂ ȘI PISCICOLĂ
INSTRUIRE AUDIOVIZUALĂ,AUDIOVISUAL INSTRUCTION
INSTRUIRE ÎN DOMENIUL COAFURII ȘI AL SERVICIILOR DE ÎNFRUMUSEȚARE,HAIRDRESSING AND BEAUTY SERVICES EDUCATION
INSTRUIRE ÎN DOMENIUL HOTELIER ȘI AL SERVICIILOR DE ALIMENTAȚIE PUBLICĂ,HOTEL AND CATERING SERVICES EDUCATION
INSTRUIRE ÎN DOMENIUL TURISMULUI ȘI AL CĂLĂTORIILOR,TRAVEL AND TOURISM EDUCATION
INSTRUIRE PENTRU ASISTENTE MEDICALE,NURSING EDUCATION
INSTRUIRE RELIGIOASĂ,RELIGIOUS INSTRUCTION
INSULTĂ ȘI CALOMNIE,LIBEL AND SLANDER
ÎNTÂLNIRI,MEETINGS
ÎNTÂLNIRI PLANIFICATE,APPOINTMENTS
INTEGRARE,INTEGRATION
INTEGRARE CULTURALĂ,CULTURAL INTEGRATION
INTEGRARE ECONOMICĂ,ECONOMIC INTEGRATION
INTEGRARE EDUCAȚIONALĂ,EDUCATIONAL INTEGRATION
INTEGRARE EUROPEANĂ,EUROPEAN INTEGRATION
INTEGRARE SOCIALĂ,SOCIAL INTEGRATION
INTELIGENȚĂ,INTELLIGENCE
INTENȚIE DE VOT,VOTING INTENTION
INTERACȚIUNE CULTURALĂ,CULTURAL INTERACTION
INTERACȚIUNE SOCIALĂ,SOCIAL INTERACTION
INTERCEPTAREA COMUNICAȚIILOR,INTERCEPTION OF COMMUNICATION
INTERES (PROCES COGNITIV),INTEREST (COGNITIVE PROCESSES)
INTERES POLITIC,POLITICAL INTEREST
INTERNAȚIONALISM,INTERNATIONALISM
INTERNĂRI,HOSPITAL ADMISSIONS
INTERNET,INTERNET
INTERVIURI (COLECTARE DE DATE),INTERVIEWS (DATA COLLECTION)
INTERVIURI PENTRU ANGAJARE,INTERVIEWING FOR JOB
INTIMIDARE,INTIMIDATION
INTIMIDAREA MARTORILOR,WITNESS INTIMIDATION
ÎNTREȚINERE,MAINTENANCE
ÎNTREȚINEREA CLĂDIRILOR,BUILDING MAINTENANCE
ÎNTREȚINEREA DRUMURILOR, ȘOSELELOR ȘI CĂILOR DE ACCES
ÎNTREȚINEREA VEHICULELOR RUTIERE,ROAD VEHICLE MAINTENANCE
ÎNTREPRINDERI AGRICOLE,AGRICULTURAL ENTERPRISES
ÎNTREPRINDERI INDUSTRIALE,INDUSTRIAL ENTERPRISES
ÎNTREPRINDERI PUBLICE,PUBLIC ENTERPRISES
ÎNTREPRINDERI STRĂINE,FOREIGN ENTERPRISES
ÎNTRERUPEREA SERVICIILOR,DISCONNECTION OF SERVICES
INUNDAȚII,FLOODS
ÎNVĂȚĂMÂNT,TEACHING
ÎNVĂȚĂMÂNT LA DISTANȚĂ,DISTANCE LEARNING
ÎNVĂȚĂMÂNT LICEAL,UPPER SECONDARY EDUCATION
ÎNVĂȚĂMÂNT PREȘCOLAR,PRE-PRIMARY EDUCATION
ÎNVĂȚĂMÂNT UNIVERSITAR,TERTIARY EDUCATION
ÎNVĂȚĂMÂNT UNIVERSITAR (A DOUA ETAPĂ, STUDII DE MASTERAT ȘI DOCTORAT)
ÎNVĂȚĂMÂNT UNIVERSITAR (PRIMA ETAPĂ, STUDII DE LICENȚĂ)
ÎNVĂȚARE,LEARNING
ÎNVĂȚĂTORI,PRIMARY SCHOOL TEACHERS
INVAZIE,INVASION
INVESTIGAȚIE CRIMINALĂ,CRIMINAL INVESTIGATION
INVESTIGAȚII OFICIALE,PUBLIC ENQUIRIES
INVESTIȚIE,INVESTMENT
INVESTIȚII STRĂINE,FOREIGN INVESTMENT
IPOTECI,MORTGAGES
ISLAMISM,ISLAM
ISTORIA ADMINISTRAȚIEI,ADMINISTRATIVE HISTORY
ISTORIA MARII BRITANII,BRITISH HISTORY
ISTORIC MEDICAL,MEDICAL HISTORY
ISTORIE,HISTORY
ISTORIE CIVILĂ,MARITAL HISTORY
ISTORIE CULTURALĂ,CULTURAL HISTORY
ISTORIE ECONOMICĂ,ECONOMIC HISTORY
ISTORIE EUROPEANĂ,EUROPEAN HISTORY
ISTORIE ȘI STUDII CONEXE,HISTORY AND ASSOCIATED STUDIES
ISTORIE JURIDICĂ,LEGAL HISTORY
ISTORIE LOCALĂ,LOCAL HISTORY
ISTORIE MEDIEVALĂ,MEDIEVAL HISTORY
ISTORIE MODERNĂ,MODERN HISTORY
ISTORIE NATURALĂ,NATURAL HISTORY
ISTORIE ORALĂ,ORAL HISTORY
ISTORIE POLITICĂ,POLITICAL HISTORY
ISTORIE SOCIALĂ,SOCIAL HISTORY
ISTORII DE VIAȚĂ,LIFE HISTORIES
ISTORIOGRAFIE,HISTORIOGRAPHY
IUBIRE,LOVE
IUDAISM,JUDAISM
IZOLAȚIONISM,ISOLATIONISM
IZOLARE SOCIALĂ,SOCIAL ISOLATION
IZOLARE TERMICĂ,THERMAL INSULATION
IZOLAREA FONICĂ,SOUND INSULATION
JARGON,JARGON
JOC (JOACĂ),PLAY
JOCURI CARE UTILIZEAZĂ RACHETE SAU PALETE,RACKET GAMES
JOCURI CU MINGEA,BALL GAMES
JOCURI DE NOROC ȘI PARIURI,GAMBLING
JOCURI DE SOCIETATE,INDOOR GAMES
JOCURI MECANICE,GAMING MACHINES
JOCURILE OLIMPICE,OLYMPIC GAMES
JUDECĂTORI,JUDGES
JURAȚI,JURIES
JURNALE (PERSONALE),DIARIES
JURNALISM,JOURNALISM
JURNALIȘTI,JOURNALISTS
JUSTIȚIE,JUSTICE
JUSTIȚIE SOCIALĂ,SOCIAL JUSTICE
LABELE PICIOARELOR,FEET
LABORATOARE,LABORATORIES
LABORATOARE EDUCAȚIONALE,EDUCATIONAL LABORATORIES
LACĂTE,LOCKS
LACURI,LAKES
LAGUNE,LAGOONS
LASERE,LASERS
LATERALITATE,LATERALITY
LEADERI AI COMUNITĂȚII,COMMUNITY LEADERS
LECȚII,LESSONS
LECȚII DE CONDUCERE A AUTOVEHICULELOR,DRIVING LESSONS
LECTURĂ (ACTIVITATE),READING (ACTIVITY)
LEGE CUTUMIARĂ,CUSTOMARY LAW
LEGEA DIVORȚULUI,DIVORCE LAW
LEGEA PROPRIETĂȚII,PROPERTY LAW
LEGEA PROPRIETĂȚII PRIVATE,PERSONAL PROPERTY LAW
LEGENDE,LEGENDS
LEGI,REGULATIONS
LEGI RUTIERE,TRAFFIC REGULATIONS
LEGISLAȚIA MEDIULUI,ENVIRONMENTAL LEGISLATION
LEGISLAȚIE,LEGISLATION
LEGISLATURĂ,LEGISLATURE
LEGUME,VEGETABLES
LENTILE,LENSES
LENTILE DE CONTACT,CONTACT LENSES
LETARGIE,LETHARGY
LEZIUNI ALE CREIERULUI,BRAIN DAMAGE
LIBER ARBITRU,FREE WILL
LIBERALISM,LIBERALISM
LIBERI PROFESIONIȘTI,SELF-EMPLOYED
LIBERTATE DE ȘEDERE,FREEDOM OF RESIDENCE
LIBERTATE DE EXPRESIE,FREEDOM OF EXPRESSION
LIBERTATE DE EXPRIMARE,FREEDOM OF SPEECH
LIBERTATE DE MIȘCARE,FREEDOM OF MOVEMENT
LIBERTATE RELIGIOASĂ,RELIGIOUS FREEDOM
LIBERTATEA DE A GÂNDI LIBER,FREEDOM OF THOUGHT
LIBERTATEA MEDIULUI ACADEMIC,ACADEMIC FREEDOM
LIBERTATEA PRESEI,FREEDOM OF THE PRESS
LICEE,UPPER SECONDARY SCHOOLS
LICEE ȘI COLEGII NAȚIONALE,SECONDARY SCHOOLS
LICENȚE,LICENCES
LICHIDITATE,LIQUIDITY
LIDERI POLITICI,POLITICAL LEADERS
LIDERI RELIGIOȘI,RELIGIOUS LEADERS
LIMBĂ DE PREDARE,LANGUAGE OF INSTRUCTION
LIMBA MATERNĂ,MOTHER TONGUE
LIMBAJ,LANGUAGE
LIMBAJ COLOCVIAL,COLLOQUIAL LANGUAGE
LIMBAJ NONVERBAL,NON-VERBAL LANGUAGE
LIMBAJ OFENSATOR,OFFENSIVE LANGUAGE
LIMBAJE DE PROGRAMARE,COMPUTER LANGUAGES
LIMBI INTERNAȚIONALE,INTERNATIONAL LANGUAGES
LIMBI MINORITARE,MINORITY LANGUAGES
LIMBI NAȚIONALE,NATIONAL LANGUAGES
LIMBI OFICIALE,OFFICIAL LANGUAGES
LIMBI PREDOMINANTE,PREDOMINANT LANGUAGES
LIMBI STRĂINE,LANGUAGES
LIMBI STRĂINE SECUNDARE,SECOND LANGUAGES
LIMBI UTILIZATE ÎN FAMILIE,LANGUAGES USED AT HOME
LIMBI UTILIZATE LA LOCUL DE MUNCĂ,LANGUAGES USED AT WORK
LIMITE DE TEREN,FIELD BOUNDARIES
LIMITE DE VITEZĂ,SPEED LIMITS
LINGVISTICĂ,LINGUISTICS
LINII DE METROU,UNDERGROUND RAILWAYS
LINII TELEFONICE DE ASISTEN?A,TELEPHONE HELP LINES
LIPSĂ DE ADĂPOST,HOMELESSNESS
LIPSĂ DE ALIMENTE,FOOD SHORTAGES
LIPSA FOR?EI DE MUNCA,LABOUR SHORTAGES
LIPSURI,SHORTAGES
LITERATURĂ,LITERATURE
LOC DE MUNCĂ,WORKPLACE
LOC DE MUNCĂ LA DOMICILIU,HOME-BASED WORK
LOCALURI PUBLICE,PUBLIC HOUSES
LOCOMOȚIE,LOCOMOTION
LOCUINȚĂ ÎNCHIRIATĂ,RENTED ACCOMMODATION
LOCUINȚE PENTRU VÂRSTNICI,HOUSING FOR THE ELDERLY
LOCUINȚE PRIVATE,PRIVATE HOUSING
LOCUINȚE SOCIALE,SOCIAL HOUSING
LOCUIRE,HOUSING
LOCUL CONTROLULUI,LOCUS OF CONTROL
LOCUL DE REȘEDINȚĂ,PLACE OF RESIDENCE
LOCUL DECESULUI,PLACE OF DEATH
LOCUL NAȘTERII,PLACE OF BIRTH
LOCURI DE JOACĂ,PLAYGROUNDS
LOCURI DE MUNCĂ VACANTE,JOB VACANCIES
LOGOPEDIE,SPEECH THERAPY
LOTERII,LOTTERIES
LUARE DE OSTATICI,HOSTAGE TAKING
LUCRĂRI PRACTICE (DE SEMINAR, DE LABORATOR)
LUCRĂTORI ANGAJAȚI PE PLATFORME MARINE DE EXTRACȚIE,OFFSHORE EMPLOYMENT
LUCRĂTORI ÎN SERVICII DE MENAJ CASNIC,DOMESTIC WORKERS
LUCRĂTORI LA DOMICILIU (PE MATERIALELE FURNIZATE DE FIRMĂ),OUTWORKERS
LUCRU DE DUMINICĂ,SUNDAY WORKING
LUCRU LA DOMICILIU CU MATERIALELE ANGAJATORULUI,OUTWORK
MAGAZINE,SHOPS
MAGAZINE CU ARTICOLE PENTRU GRĂDINĂ,GARDEN CENTRES
MAGAZINE DE DESFACERE CU AMĂNUNTUL,RETAIL OUTLETS
MAGAZINE DE TELEFONIE MOBILĂ,MOBILE SHOPS
MAGAZINE MARI,LARGE SHOPS
MAGAZINE MICI,SMALL SHOPS
MAGIE,MAGIC
MAHALALE,SLUMS
MAȘINI,CARS
MAȘINI DE SERVICIU,COMPANY CARS
MAȘINI ELECTRICE,ELECTRIC CARS
MALFORMAȚII ALE SISTEMULUI NERVOS,NERVOUS SYSTEM MALFORMATIONS
MAME,MOTHERS
MAME LUCRĂTOARE,WORKING MOTHERS
MAME NECĂSĂTORITE,UNMARRIED MOTHERS
MAME SUROGAT,SURROGATE MOTHERS
MAMOGRAFIE,BREAST SCREENING
MÂNĂ DE LUCRU INFANTILĂ,CHILD LABOUR
MANAGEMENT,MANAGEMENT
MANAGEMENT SUPERIOR,TOP MANAGEMENT
MANAGEMENTUL AFACERILOR,BUSINESS MANAGEMENT
MANAGERI,MANAGERS
MANIFESTE POLITICE,POLITICAL MANIFESTOS
MANUALE,TEXTBOOKS
MANUFACTURIERI,MANUAL WORKERS
MĂRFURI,COMMODITIES
MĂRI,SEAS
MĂRIME,SIZE
MĂRIMEA CLASEI,CLASS SIZE
MĂRIMEA ȘCOLII,SCHOOL SIZE
MĂRIMEA FAMILIEI,FAMILY SIZE
MARINĂ MILITARĂ,NAVIES
MARINARI,SEAMEN
MARKETING AGRICOL,AGRICULTURAL MARKETING
MARTORI,WITNESSES
MARXISM,MARXISM
MASAJ,MASSAGE
MĂSURAREA DISTANȚEI,DISTANCE MEASUREMENT
MĂSURAREA GREUTĂȚII,WEIGHT MEASUREMENT
MĂSURAREA PERIMETRULUI,AREA MEASUREMENT
MĂSURAREA VOLUMULUI,VOLUME MEASUREMENT
MĂSURĂRI ALE DIMENSIUNII,DIMENSIONAL MEASUREMENTS 
MĂSURĂRI EDUCAȚIONALE,EDUCATIONAL MEASUREMENTS
MĂSURĂTORI,MEASUREMENTS
MĂSURĂTORI DE ZGOMOT,NOISE MEASUREMENTS
MĂSURĂTORI ȘI TESTE CLINICE,CLINICAL TESTS AND MEASUREMENTS
MĂSURĂTORI METEREOLOGICE,METEOROLOGICAL MEASUREMENTS
MĂSURI ALE CIRCUMFERINȚEI CORPULUI,BODY CIRCUMFERENCE MEASUREMENTS
MĂSURI DE PROTECȚIE ȘI SIGURANȚĂ,SAFETY AND SECURITY MEASURES
MĂSURI DE SIGURANȚĂ ÎN CAZ DE INCENDIU,FIRE SAFETY MEASURES
MĂSURI POSTBELICE,POSTWAR MEASURES
MATEMATICĂ,MATHEMATICS
MATERIALE,MATERIALS
MATERIALE DE CITIT,READING MATERIALS
MATERIALE DE CONSTRUCȚIE,BUILDING MATERIALS
MATERIALE DIDACTICE,TEACHING MATERIALS
MATERIALE INFORMATIVE,INFORMATION MATERIALS
MATERIALE PERICULOASE,DANGEROUS MATERIALS
MATERIALISM,MATERIALISM
MATERII PRIME,RAW MATERIALS
MĂȘTI DE PROTECȚIE,PROTECTIVE MASKS
MECANISMUL EUROPEAN AL CURSULUI DE SCHIMB,EUROPEAN EXCHANGE RATE MECHANISM
MEDICAMENTE,MEDICINAL DRUGS
MEDICAMENTE FĂRĂ PRESCRIPȚIE MEDICALĂ,NON-PRESCRIPTION DRUGS
MEDICAMENTE ȘI DROGURI,DRUGS
MEDICAMENTE ȘI DROGURI ILEGALE,ILLEGAL DRUGS
MEDICAMENTE PE BAZĂ DE REȚETĂ,PRESCRIPTION DRUGS
MEDICI,PHYSICIANS
MEDICI CHIRURGI,SURGEONS
MEDICI CHIRURGI VETERINARI,VETERINARY SURGEONS
MEDICI GENERALIȘTI,GENERAL PRACTITIONERS
MEDICI SPECIALIȘTI,MEDICAL SPECIALISTS
MEDICINĂ NATURISTĂ,NATUROPATHY
MEDICINĂ PREVENTIVĂ,PREVENTIVE MEDICINE
MEDICINĂ SPORTIVĂ ȘI FIZICĂ,SPORTS MEDICINE
MEDICINĂ TRADIȚIONALĂ,FOLK MEDICINE
MEDICINĂ VETERINARĂ,VETERINARY MEDICINE
MEDITAȚIE,MEDITATION
MEDIU,ENVIRONMENT
MEDIU EDUCAȚIONAL,EDUCATIONAL ENVIRONMENT
